#Stations in TA
#Net,Station,Lat,Long,Elev,Est.Thick,StdDev,Est.Vp/Vs,StdDev,AssumedVp,Vs,PoissonsRatio,NumEQ,Complexity
TA,G16K,65.3936,-162.3547,169 m,32 km,0.1 km,1.73,0.01,6.276 km/s,3.628 km/s,0.25,200,0.40,Koyuk River AK USA,USArray Transportable Network (new EarthScope stations)
TA,R18K,57.5665,-154.4524,39 m,46 km,2.0 km,1.70,0.09,6.24 km/s,3.671 km/s,0.24,37,0.76,Karluk AK USA,USArray Transportable Network (new EarthScope stations)
TA,P08K,56.6011,-169.5484,36 m,27 km,3.9 km,1.75,0.10,6.24 km/s,3.566 km/s,0.26,12,0.54,Saint George Island AK USA,USArray Transportable Network (new EarthScope stations)
TA,TUL3,35.9105,-95.7918,265 m,44 km,4.9 km,1.79,0.07,6.498 km/s,3.63 km/s,0.27,23,0.67,Leonard OK USA,USArray Transportable Network (new EarthScope stations)
TA,Q24A,38.9641,-105.1492,2775 m,50 km,0.3 km,1.77,0.01,6.159 km/s,3.48 km/s,0.27,200,0.69,Divide CO USA,USArray Transportable Network (new EarthScope stations)
TA,F04A,45.9325,-122.4193,211 m,50 km,0.5 km,1.88,0.02,6.566 km/s,3.493 km/s,0.30,70,0.57,Amboy WA USA,USArray Transportable Network (new EarthScope stations)
TA,N15A,40.8903,-112.5201,1408 m,28 km,0.2 km,1.62,0.01,6.276 km/s,3.874 km/s,0.19,68,0.60,Stansbury Island BLM Grantsville UT USA,USArray Transportable Network (new EarthScope stations)
TA,J26L,64.5012,-143.5636,1144 m,37 km,0.2 km,1.74,0.01,6.566 km/s,3.774 km/s,0.25,192,0.53,Joseph Creek AK USA,USArray Transportable Network (new EarthScope stations)
TA,M11A,41.4311,-115.7912,1849 m,59 km,5.9 km,2.01,0.12,6.276 km/s,3.122 km/s,0.34,87,0.74,Holland Ranch North Fork NV USA,USArray Transportable Network (new EarthScope stations)
TA,R22A,38.2289,-106.7561,2773 m,44 km,1.7 km,1.86,0.02,6.306 km/s,3.39 km/s,0.30,46,0.61,Saguache Gunnison CO USA,USArray Transportable Network (new EarthScope stations)
TA,U26A,36.3945,-103.7439,1861 m,44 km,0.3 km,1.79,0.01,6.306 km/s,3.523 km/s,0.27,49,0.46,Atchley Ranch Grenville NM USA,USArray Transportable Network (new EarthScope stations)
TA,T26A,37.1747,-103.5933,1830 m,42 km,1.5 km,1.75,0.02,6.306 km/s,3.603 km/s,0.26,37,0.59,Comanche National Grassland Park Kim CO USA,USArray Transportable Network (new EarthScope stations)
TA,V28A,35.7505,-102.2243,1163 m,44 km,1.4 km,1.88,0.03,6.242 km/s,3.32 km/s,0.30,35,0.42,Channing TX USA,USArray Transportable Network (new EarthScope stations)
TA,O12A,40.2679,-114.7454,1743 m,30 km,0.2 km,1.74,0.01,6.276 km/s,3.607 km/s,0.25,83,0.27,Currie NV USA,USArray Transportable Network (new EarthScope stations)
TA,V29A,35.8734,-101.5209,953 m,32 km,6.9 km,2.09,0.15,6.426 km/s,3.075 km/s,0.35,31,0.83,Stinnett TX USA,USArray Transportable Network (new EarthScope stations)
TA,W28A,35.2574,-102.2063,1156 m,47 km,0.5 km,1.80,0.02,6.242 km/s,3.468 km/s,0.28,35,0.42,Vega TX USA,USArray Transportable Network (new EarthScope stations)
TA,216A,32.0022,-111.4574,908 m,26 km,0.2 km,1.81,0.01,6.276 km/s,3.467 km/s,0.28,50,0.35,Three Points Tucson AZ USA,USArray Transportable Network (new EarthScope stations)
TA,W29A,35.1212,-101.6476,1072 m,40 km,6.0 km,1.95,0.11,6.426 km/s,3.295 km/s,0.32,26,0.78,Amraillo TX USA,USArray Transportable Network (new EarthScope stations)
TA,X29A,34.4452,-101.7008,1039 m,44 km,1.7 km,1.91,0.06,6.426 km/s,3.364 km/s,0.31,24,0.74,Tulia tX USA,USArray Transportable Network (new EarthScope stations)
TA,Z28A,33.2884,-102.3866,1045 m,49 km,3.1 km,1.72,0.05,6.129 km/s,3.563 km/s,0.24,19,0.71,Tucker Farm Meadow TX USA,USArray Transportable Network (new EarthScope stations)
TA,Y29A,33.8602,-101.6712,991 m,47 km,7.1 km,1.72,0.10,6.426 km/s,3.736 km/s,0.24,27,0.81,Porterfield Farm Petersburg TX USA,USArray Transportable Network (new EarthScope stations)
TA,129A,32.6309,-101.8662,876 m,49 km,0.3 km,1.81,0.01,6.426 km/s,3.55 km/s,0.28,36,0.41,Stewart Farms Lamesa TX USA,USArray Transportable Network (new EarthScope stations)
TA,P27A,39.5559,-102.5782,1286 m,45 km,0.8 km,1.75,0.05,6.242 km/s,3.567 km/s,0.26,25,0.66,Ficken Ranch Kirk CO USA,USArray Transportable Network (new EarthScope stations)
TA,128A,32.6213,-102.485,966 m,30 km,1.8 km,1.60,0.01,6.129 km/s,3.831 km/s,0.18,42,0.80,Castleberry Farm Seminole TX USA,USArray Transportable Network (new EarthScope stations)
